OBJECTID,NAME,STATE_NAME,STATE_ABBR,STATE_FIPS,COUNTY_FIPS,FIPS,POPULATION_2020,POP20_SQMI,SQMI,Shape__Area,Shape__Length
1,Autauga County,Alabama,AL,01,001,01001,60428,100,604.37,0.150255824938768,2.06602622869991
2,Baldwin County,Alabama,AL,01,003,01003,248832,152.4,1633.14,0.398402210160384,9.30578595200718
3,Barbour County,Alabama,AL,01,005,01005,24779,27.4,904.52,0.223270062520669,2.69516157172601
4,Bibb County,Alabama,AL,01,007,01007,22252,35.5,626.17,0.156472430194754,1.88751126751109
5,Blount County,Alabama,AL,01,009,01009,59594,91.6,650.63,0.164405356746101,2.42350342319658
6,Bullock County,Alabama,AL,01,011,01011,10327,16.5,625.14,0.154691246676293,2.07881853081719
7,Butler County,Alabama,AL,01,013,01013,18613,23.9,777.88,0.191773073478544,1.83535343369171
8,Calhoun County,Alabama,AL,01,015,01015,115312,188.3,612.27,0.15434145305926,2.19835047659026
9,Chambers County,Alabama,AL,01,017,01017,34466,57.1,603.11,0.150571104271194,1.72189652674365
10,Cherokee County,Alabama,AL,01,019,01019,24723,41.2,599.98,0.151949550291647,1.89217130301505
11,Chilton County,Alabama,AL,01,021,01021,45587,65.1,700.79,0.174827215977075,2.08631305346662
12,Choctaw County,Alabama,AL,01,023,01023,12377,13.4,920.86,0.227669065187001,2.68653025916657
13,Clarke County,Alabama,AL,01,025,01025,22471,17.9,1252.57,0.308553839138767,3.78523463278051
14,Clay County,Alabama,AL,01,027,01027,14373,23.7,606,0.151892176142837,2.0227794857538
15,Cleburne County,Alabama,AL,01,029,01029,15139,27,561.01,0.141263366255544,2.17511155122656
16,Coffee County,Alabama,AL,01,031,01031,54937,80.7,680.49,0.167147911231268,1.67881592507152
17,Colbert County,Alabama,AL,01,033,01033,58319,93.5,623.52,0.158887371378569,2.19893139637719
18,Conecuh County,Alabama,AL,01,035,01035,11164,13.1,852.76,0.209519440677241,2.60097012116388
19,Coosa County,Alabama,AL,01,037,01037,10217,15.3,666.35,0.1663986883093,1.75339599542072
20,Covington County,Alabama,AL,01,039,01039,37341,35.8,1043.77,0.255967931662099,2.38267201743767
21,Crenshaw County,Alabama,AL,01,041,01041,12965,21.2,610.95,0.15058480338871,2.32607992237483
22,Cullman County,Alabama,AL,01,043,01043,90522,119.9,755.02,0.191118114427809,2.45875932120352
23,Dale County,Alabama,AL,01,045,01045,49296,87.6,562.68,0.138250903581365,1.65008936217887
24,Dallas County,Alabama,AL,01,047,01047,37020,37.2,993.84,0.246525112795325,3.11722203075464
25,DeKalb County,Alabama,AL,01,049,01049,71540,91.9,778.66,0.197859303581708,2.21434114389646
26,Elmore County,Alabama,AL,01,051,01051,91143,138.7,657.04,0.163461024675144,2.26213694558516
27,Escambia County,Alabama,AL,01,053,01053,36918,38.7,953.14,0.233444897758773,2.50745676762346
28,Etowah County,Alabama,AL,01,055,01055,102922,187.6,548.63,0.138734303298179,2.08607607957988
29,Fayette County,Alabama,AL,01,057,01057,15975,25.4,629.36,0.158556236984168,1.83767900515487
30,Franklin County,Alabama,AL,01,059,01059,31976,49.5,646.52,0.164246976017921,1.78017845787299
31,Geneva County,Alabama,AL,01,061,01061,26546,45.9,578.95,0.141752253726736,1.8337982381289
32,Greene County,Alabama,AL,01,063,01063,7394,11.2,659.93,0.164643006722599,3.55716962090988
33,Hale County,Alabama,AL,01,065,01065,14575,22.2,656.5,0.163625304561492,2.47889611352193
34,Henry County,Alabama,AL,01,067,01067,17417,30.6,568.31,0.139755860262312,1.63966978373878
35,Houston County,Alabama,AL,01,069,01069,109371,188,581.68,0.142505590653627,2.10218975821673
36,Jackson County,Alabama,AL,01,071,01071,52517,46.6,1126.79,0.287404173239338,2.67785025103285
37,Jefferson County,Alabama,AL,01,073,01073,673039,598.7,1124.15,0.282674001634177,2.90459065575109
38,Lamar County,Alabama,AL,01,075,01075,13743,22.7,605.46,0.152638763591085,1.64061245213142
39,Lauderdale County,Alabama,AL,01,077,01077,94177,130.9,719.6,0.183810865029727,2.42066113247893
40,Lawrence County,Alabama,AL,01,079,01079,32872,45.8,717.2,0.182375028417027,1.9299175720498
41,Lee County,Alabama,AL,01,081,01081,184831,300.1,615.85,0.153220978985701,2.05253663375627
42,Limestone County,Alabama,AL,01,083,01083,111551,183.7,607.19,0.154928017990642,1.69339429036229
43,Lowndes County,Alabama,AL,01,085,01085,10163,14,725.07,0.179522812585901,2.35235681069528
44,Macon County,Alabama,AL,01,087,01087,18788,30.6,613.21,0.152206218975834,2.09874216203104
45,Madison County,Alabama,AL,01,089,01089,406026,499.6,812.72,0.207254114154239,2.41294965868807
46,Marengo County,Alabama,AL,01,091,01091,18885,19.2,982.67,0.243547187993954,2.63865688274218
47,Marion County,Alabama,AL,01,093,01093,28986,39,743.57,0.188229810123175,1.89935988088529
48,Marshall County,Alabama,AL,01,095,01095,99025,158.9,623.18,0.15817836510837,2.22465434726608
49,Mobile County,Alabama,AL,01,097,01097,414694,331.5,1250.83,0.305307180961336,7.34706337625883
50,Monroe County,Alabama,AL,01,099,01099,19149,18.5,1034.4,0.254525054709802,2.84082193259648
51,Montgomery County,Alabama,AL,01,101,01101,228502,285.7,799.91,0.198193141562797,2.59887807628676
52,Morgan County,Alabama,AL,01,103,01103,124960,208.6,599.05,0.152207835109493,1.80624902644253
53,Perry County,Alabama,AL,01,105,01105,8111,11.2,723.88,0.180172220338136,2.16185956100367
54,Pickens County,Alabama,AL,01,107,01107,18701,21,890.14,0.223140729726538,2.218519084163
55,Pike County,Alabama,AL,01,109,01109,33054,49.1,672.97,0.165997309067961,2.2561282490364
56,Randolph County,Alabama,AL,01,111,01111,21956,37.6,584.13,0.14645192379885,1.58463252385491
57,Russell County,Alabama,AL,01,113,01113,59916,92.6,647.19,0.160471514243227,2.125431808081
58,St. Clair County,Alabama,AL,01,115,01115,93642,143.3,653.36,0.164593298175305,2.44610078706626
59,Shelby County,Alabama,AL,01,117,01117,231872,286.4,809.49,0.202884771856588,2.5118319522144
60,Sumter County,Alabama,AL,01,119,01119,11912,13,913.34,0.227210561910169,3.06408977022161
61,Talladega County,Alabama,AL,01,121,01121,81994,107.8,760.32,0.190810304550723,2.72644579104376
62,Tallapoosa County,Alabama,AL,01,123,01123,41315,53.9,766.25,0.191190428403388,2.16662914092961
63,Tuscaloosa County,Alabama,AL,01,125,01125,234316,173.4,1351.24,0.338761047263006,2.89410203519581
64,Walker County,Alabama,AL,01,127,01127,64513,80.1,805.19,0.203046712987089,2.38652927040491
65,Washington County,Alabama,AL,01,129,01129,14999,13.8,1088.57,0.267395513335259,2.63298646124822
66,Wilcox County,Alabama,AL,01,131,01131,10311,11.4,907.39,0.224265794664689,2.69179579006002
67,Winston County,Alabama,AL,01,133,01133,23255,36.8,631.87,0.15997646864821,1.68069299202374
68,Aleutians East Borough,Alaska,AK,02,013,02013,3352,0.5,7151.04,2.62376770007722,52.5312839784375
69,Aleutians West Census Area,Alaska,AK,02,016,02016,4974,1.4,3682.18,1.27350152043255,46.6372520032483
70,Anchorage Municipality,Alaska,AK,02,020,02020,288513,166.4,1734.36,0.748446627484554,4.74867967295966
