"","name","state","county","acres","start_date","containment_date","notes","percent_forest_cover","population_2020","county_size_acres","forest_cover_acres"
"1","RADAR","Florida","Polk","1300","February 20","March 1","2024 Florida wildfires – A human-caused wildfire.[3]",35.7,775084,1286662.4,459338.4768
"2","Jeff Davis Palestine Rd","Mississippi","Jefferson Davis","1409","February 24","February 28","Caused $281,800 in damage.[4]",70.11,11044,261849.6,183582.75456
"3","Leaf","Mississippi","Greene","1730","February 24","April 23","[5]",74.2,13486,459968,341296.256
"4","North CIG","Texas","Moore","4012","February 24","February 25","2024 Texas wildfires – Reportedly human-caused.[5]",2.09,21193,582156.8,12167.07712
"5","353 I-80/Otto Road","Wyoming","Laramie","2193","February 24","March 25","2024 Wyoming wildfires[6]",2.55,102453,1720025.6,43860.6528
"6","Range 153","Colorado","El Paso","1816","February 25","March 5","2024 Colorado wildfires – Reportedly human-caused.[7]",2.98,762784,1362649.6,40606.95808
"7","Highway 16","Wyoming","Crook","1246","February 26","February 27","2024 Wyoming wildfires[8]",12.68,7235,1833830.4,232529.69472
"8","Walker","Oklahoma","Le Flore","1974","February 25","March 18","[5]",55.11,47862,1029516.8,567366.70848
"9","Nature","Oklahoma","Cherokee","3542","February 25","unknown","Reportedly human-caused. Caused an estimated $9,000 in damage.[5]",43.16,47305,496652.8,214355.34848
"10","Wildcat Creek","Wyoming","Crook","1200","February 25","unknown","2024 Wyoming wildfires – Estimated damage costs over $10,000.[5]",12.68,7235,1833830.4,232529.69472
"11","Betty's Way","Nebraska","Lincoln","67642","February 26","March 11","Caused $602,498 in damage.[9][5]",6.28,34026,1648076.8,103499.22304
"12","Betty's Way","Nebraska","Custer","67642","February 26","March 11","Caused $602,498 in damage.[9][5]",8.67,10394,1648608,142934.3136
"13","Smokehouse Creek","Texas","Hutchinson","146698","February 26","March 16","2024 Texas wildfires – Largest wildfire in Texas history. Reportedly human-caused.[10][11][12][5]",3.27,20098,572768,18729.5136
"14","Smokehouse Creek","Texas","Carson","146698","February 26","March 16","2024 Texas wildfires – Largest wildfire in Texas history. Reportedly human-caused.[10][11][12][5]",2.06,5688,591430.4,12183.46624
"15","Smokehouse Creek","Texas","Gray","146698","February 26","March 16","2024 Texas wildfires – Largest wildfire in Texas history. Reportedly human-caused.[10][11][12][5]",3.05,20829,594771.2,18140.5216
"16","Smokehouse Creek","Texas","Roberts","146698","February 26","March 16","2024 Texas wildfires – Largest wildfire in Texas history. Reportedly human-caused.[10][11][12][5]",4.24,820,591481.6,25078.81984
"17","Smokehouse Creek","Texas","Wheeler","146698","February 26","March 16","2024 Texas wildfires – Largest wildfire in Texas history. Reportedly human-caused.[10][11][12][5]",4.17,4839,585907.2,24432.33024
"18","Smokehouse Creek","Texas","Hemphill","146698","February 26","March 16","2024 Texas wildfires – Largest wildfire in Texas history. Reportedly human-caused.[10][11][12][5]",4.04,3358,583782.4,23584.80896
"19","Smokehouse Creek","Texas","Lipscomb","146698","February 26","March 16","2024 Texas wildfires – Largest wildfire in Texas history. Reportedly human-caused.[10][11][12][5]",3.03,3040,596691.2,18079.74336
