Year,County,Population
2021,Garfield,2300
2021,Columbia,3950
2021,Wahkiakum,4475
2021,Ferry,7250
2021,Lincoln,10900
2021,Skamania,11750
2021,Pend Oreille,13475
2021,San Juan,17850
2021,Adams,20900
2021,Asotin,22500
2021,Klickitat,23000
2021,Pacific,23425
2021,Jefferson,33100
2021,Okanogan,42350
2021,Douglas,43550
2021,Whitman,44600
2021,Kittitas,45225
2021,Stevens,46725
2021,Walla Walla,62100
2021,Mason,65750
2021,Grays Harbor,76050
2021,Clallam,77750
2021,Chelan,79999.99
2021,Lewis,82700
2021,Island,87100
2021,Franklin,98350
2021,Grant,100800
2021,Cowlitz,111500
2021,Skagit,130000
2021,Benton,209400
2021,Whatcom,226300
2021,Yakima,258099.99
2021,Kitsap,277700
2021,Thurston,297799.99
2021,Clark,513100.01
2021,Spokane,542100
2021,Snohomish,837800.02
2021,Pierce,928199.99
2021,King,2287050.05
2021,Washington State,7766975.01
